Dataset,test_f1_macro_mean_GE-11,test_f1_macro_mean_GE-3,test_f1_macro_mean_GE-5,test_f1_macro_mean_GE-7,test_f1_macro_mean_GE-9,test_f1_macro_mean_HARF-70,test_f1_macro_mean_HARF-75,test_f1_macro_mean_HARF-80,test_f1_macro_mean_HARF-85,test_f1_macro_mean_HARF-90,test_f1_macro_mean_ORBoost-11,test_f1_macro_mean_ORBoost-15,test_f1_macro_mean_ORBoost-19,test_f1_macro_mean_ORBoost-3,test_f1_macro_mean_ORBoost-7
1006_lymph_10_7.csv.gz,0.8375742064445221,0.8196654233653188,0.8459212926146147,0.8424693372967933,0.8471693080512361,0.836483637668588,0.8080778695280847,0.7771546356793465,0.7538498923556409,0.7251760647767352,0.5598802634452934,0.5973203118035418,0.6305061827321476,0.6768789180877504,0.5909673483526554
1006_lymph_10_8.csv.gz,0.8410176187728099,0.8237289410941924,0.8394845314828633,0.8445606579202836,0.8467602300427208,0.8498262773511135,0.8229148780219553,0.7967126940629937,0.7820193973475892,0.7582924263985356,0.5685184715035722,0.5904539478976054,0.6365635630914979,0.6174870903911855,0.5880393961606478
1006_lymph_10_9.csv.gz,0.7689760865957112,0.7494251016194967,0.7604268411631979,0.775123220061322,0.7712564309364203,0.7626784744843671,0.7323111247866428,0.7049517403339537,0.68880727300932,0.6667833117578107,0.6104729844470422,0.6075040846274444,0.5887479492977972,0.6902061242794225,0.7056309829854672
1006_lymph_20_0.csv.gz,0.859528271418928,0.8262449813871559,0.8452327608545752,0.8559880520861483,0.8737375604702555,0.8463974072932924,0.8165496946774367,0.7849679682409283,0.7611299973287943,0.7363058597025463,0.5800964087185183,0.6668297690873888,0.7109541299267012,0.7097668737520383,0.5995212555103603
1006_lymph_20_1.csv.gz,0.8549692225519654,0.8171132952469712,0.835285738163956,0.848920052792906,0.8667869053221735,0.8394510017943593,0.8083455963911674,0.7739673026060369,0.7557138217088437,0.729367705881725,0.6040429050178825,0.6738957902335468,0.599447604488596,0.6153486920116954,0.5775435936002269
1006_lymph_20_2.csv.gz,0.8506569000835951,0.8078615804130588,0.8395954393679723,0.8565169398802367,0.8570709662999285,0.8314612323001574,0.7971519778245767,0.7654914724652053,0.7387385782268467,0.7129731061241794,0.5322074514999603,0.5833024538089416,0.6083521155568078,0.5939180085151229,0.5504980470725122
1006_lymph_20_3.csv.gz,0.7982806643754218,0.7566986628616297,0.7768943722857605,0.8004491234498704,0.8054002128935842,0.7703943825769174,0.7318483510319644,0.6957961484337376,0.6721428426903151,0.645806296775962,0.6233679867941198,0.6506550301429838,0.6237381868970734,0.6576024006524839,0.6605101174413625
1006_lymph_20_4.csv.gz,0.842656651566397,0.8016825109858859,0.8279742597202994,0.8473644593190747,0.8579551979503839,0.8167979756078257,0.7812009233328727,0.7504605493586047,0.7299218095936613,0.6989506322053697,0.5097716627615613,0.6160725390306928,0.6516117274418823,0.6467664694986643,0.5169039432954861
1006_lymph_20_5.csv.gz,0.8132454229659029,0.7625300098940723,0.7880623616192856,0.8150955235510753,0.8119692946747358,0.7890725044364133,0.7401966887505737,0.7181825634750528,0.6915894530703199,0.6704128667347298,0.5478681090127346,0.5858961153202078,0.5656662124556464,0.6351363596042259,0.6443202321684478
1006_lymph_20_6.csv.gz,0.8608671494737392,0.8061290513344158,0.8389580497533312,0.8633385096060789,0.8650352870931591,0.8217158709814504,0.7842080716763087,0.7571230518054354,0.7232315475304024,0.6894681932568416,0.5531133309345351,0.609082816112142,0.6176260980691812,0.601976396160478,0.5899096447882907
